Duyuru Başlığı,Link,Eklenme Tarihi,Mail Durumu
Mimarlık (İngilizce) Lisans Programımız 6 Yıl Süreyle Akredite Edildi,https://www.maltepe.edu.tr/tr/mimarlik-i̇ngilizce-lisans-programimiz-6-yil-sureyle-akredite-edildi,12.07.2026 20:44,ℹ️ Listeye Eklendi
Maltepe Üniversitesi ile Ege Üniversitesi Arasında Nükleer Bilimler Alanında İş Birliği Protokolü İmzalandı,https://www.maltepe.edu.tr/tr/maltepe-universitesi-ile-ege-universitesi-arasinda-nukleer-bilimler-alaninda-i̇s-birligi-protokolu-i̇mzalandi,12.07.2026 20:44,ℹ️ Listeye Eklendi
Müzikonair Medya ve Sanat Ödül Töreni’ne Davetlisiniz!,https://www.maltepe.edu.tr/tr/muzikonair-medya-ve-sanat-odul-toreni’ne-davetlisiniz,12.07.2026 20:44,ℹ️ Listeye Eklendi
"Felsefe Söyleşileri 26: ""Uygulamalı Felsefe: I, Felsefi Danışmanlık Nedir? Ne Değildir?""",https://www.maltepe.edu.tr/tr/felsefe-soylesileri-26-uygulamali-felsefe-i-felsefi-danismanlik-nedir-ne-degildir,12.07.2026 20:44,ℹ️ Listeye Eklendi
GreenInvest: IN4SFS Brokerage Event Türkiye – Registration Form,https://www.maltepe.edu.tr/tr/greeninvest-in4sfs-brokerage-event-turkiye-–-registration-form,12.07.2026 20:44,ℹ️ Listeye Eklendi
İstanbul Liseler Arası Matematik Bilgi Yarışması Başvuruları Başladı!,https://www.maltepe.edu.tr/tr/i̇stanbul-liseler-arasi-matematik-bilgi-yarismasi-basvurulari-basladi,12.07.2026 20:44,ℹ️ Listeye Eklendi
Aydın Doğan Uluslararası Karikatür Yarışması “Ben Robot Değilim” Sergisi,https://www.maltepe.edu.tr/tr/aydin-dogan-uluslararasi-karikatur-yarismasi-“ben-robot-degilim”-sergisi,12.07.2026 20:44,ℹ️ Listeye Eklendi
Prof. Dr. İlber Ortaylı’nın Vefatına İlişkin Taziye Mesajı,https://www.maltepe.edu.tr/tr/prof-dr-i̇lber-ortayli’nin-vefatina-i̇liskin-taziye-mesaji,12.07.2026 20:44,ℹ️ Listeye Eklendi
"Konferans: ""XV. Geleneksel Lojistik ve Ticaret Buluşması""",https://www.maltepe.edu.tr/tr/konferans-iv-geleneksel-lojistik-ve-ticaret-bulusmasi,12.07.2026 20:44,ℹ️ Listeye Eklendi
"Radyasyon, Radyasyondan Korunma Ve Radyasyon Güvenliği Eğitimi",https://www.maltepe.edu.tr/tr/radyasyon-radyasyondan-korunma-ve-radyasyon-guvenli̇gi̇-egi̇ti̇mi̇,12.07.2026 20:44,ℹ️ Listeye Eklendi
Rektörümüz Prof. Dr. Edibe SÖZEN ÇETİNTAŞ’IN 8 Mart Dünya Emekçi Kadınlar Günü Mesajı,https://www.maltepe.edu.tr/tr/rektorumuz-prof-dr-edibe-sozen-ceti̇ntas’in-8-mart-dunya-emekci-kadinlar-gunu-mesaji-,12.07.2026 20:44,ℹ️ Listeye Eklendi
11. Roman Kahramanları İstanbul Edebiyat Festivali ve Roman Kahramanları Kısa Film Yarışması Okullara Katılım Çağrısı,https://www.maltepe.edu.tr/tr/roman-kahramanlari-2026,12.07.2026 20:44,ℹ️ Listeye Eklendi
Maltepe Üniversitesi’nde “Kurumsal Dönüşüm Çalıştayı” Gerçekleştirildi,https://www.maltepe.edu.tr/tr/maltepe-universitesi’nde-“kurumsal-donusum-calistayi”-gerceklestirildi,12.07.2026 20:44,ℹ️ Listeye Eklendi
2025-2026 Bahar Yarıyılı Ders Kayıtları ve Danışman Onayları,https://www.maltepe.edu.tr/tr/20252026-bahar-yariyili-ders-kayitlari-ve-danisman-onaylari,12.07.2026 20:44,ℹ️ Listeye Eklendi
2025 - 2026 Eğitim – Öğretim yılı bahar dönemi kayıt yenileme işlemleri 31.01.2026 tarihine kadar devam etmektedir.,https://www.maltepe.edu.tr/tr/2025--2026-egitim-kayit-yenileme,12.07.2026 20:44,ℹ️ Listeye Eklendi
6 Şubat Kahramanmaraş Depremleri Anma Programı,https://www.maltepe.edu.tr/tr/6-subat-kahramanmaras-depremleri-anma-programi-,12.07.2026 20:44,ℹ️ Listeye Eklendi
Maltepe Üniversitesi – RADKOR İş Birliği Protokolü,https://www.maltepe.edu.tr/tr/maltepe-universitesi-–-radkor-i̇s-birligi-protokolu,12.07.2026 20:44,ℹ️ Listeye Eklendi
14th International Symposium on Digital Forensics and Security (ISDFS 2026),https://www.maltepe.edu.tr/tr/14th-international-symposium-on-digital-forensics-and-security-isdfs-2026,12.07.2026 20:44,ℹ️ Listeye Eklendi
Şehit ve Gazi Yakınlarına Lisansüstü Eğitimde Akademik Destek,https://www.maltepe.edu.tr/tr/sehit-ve-gazi-yakinlarina-lisansustu-egitimde-akademik-destek,12.07.2026 20:44,ℹ️ Listeye Eklendi
Mimarlık ve Tasarım Fakültesi’den Bir Ödül Daha!,https://www.maltepe.edu.tr/tr/mimarlik-ve-tasarim-fakultesi’den-bir-odul-daha,30.12.2025 18:18,ℹ️ Listeye Eklendi
GSCSSC-2025,https://www.maltepe.edu.tr/tr/gscssc2025,30.12.2025 18:18,ℹ️ Listeye Eklendi
"Teknopark Hasat 2025’te, teknoloji ekosistemimizi yarınlara taşıyacak stratejik bir adım attık.",https://www.maltepe.edu.tr/tr/teknopark-hasat-2025,22.12.2025 18:18,ℹ️ Listeye Eklendi | Haftalık Raporlandı 25.12.2025
Küresel Köprüler Maltepe Üniversitesi’nde Kuruldu,https://www.maltepe.edu.tr/tr/kuresel-kopruler-maltepe-universitesi’nde-kuruldu,22.12.2025 18:18,ℹ️ Listeye Eklendi | Haftalık Raporlandı 25.12.2025
TAGEM Ar-Ge Destek Programı Projesi Kapanış Toplantısı Yapıldı,https://www.maltepe.edu.tr/tr/tagem-arge-destek-programi-projesi-kapanis-toplantisi-yapildi,11.12.2025 12:18,ℹ️ Listeye Eklendi | Haftalık Raporlandı 15.12.2025
Maltepe Üniversitesi'nde “Kuantum Yüzyılı” Etkinliği Yapıldı!,https://www.maltepe.edu.tr/tr/maltepe-universitesinde-“kuantum-yuzyili”-etkinligi-yapildi,11.12.2025 12:18,ℹ️ Listeye Eklendi | Haftalık Raporlandı 15.12.2025
Maltepe Üniversitesi ile Teknopark İstanbul Arasında Stratejik İş Birliği Protokolü İmzalandı,https://www.maltepe.edu.tr/tr/maltepe-universitesi-ile-teknopark-i̇stanbul-arasinda-stratejik-i̇s-birligi-protokolu-i̇mzalandi,27.11.2025 18:18,ℹ️ Listeye Eklendi | Haftalık Raporlandı 01.12.2025
7. Hastalıkta ve Sağlıkta Dermatoloji Kongresi,https://www.maltepe.edu.tr/tr/7-hastalikta-ve-saglikta-dermatoloji-kongresi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Uluslararası Ticaret Ve Lojistik Bölümünden Bir Sosyal Sorumluluk Projesi,https://www.maltepe.edu.tr/tr/maltepe-universitesi-sosyal-sorumluluk-projesi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Innovative Learning For Cold Chain Food Logistics Project (InFoCoL) Açılış Toplantısı Maltepe Üniversitesi’nde Gerçekleşti,https://www.maltepe.edu.tr/tr/innovative-learning,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Kuantum Yüzyılı: Evrenin Gizemlerinden Modern Teknolojilere,https://www.maltepe.edu.tr/tr/kuantum-yuzyili-evrenin-gizemlerinden-modern-teknolojilere-25,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
CleanTech2025’in Davetli Konuşmacısı: Prof. Dr. Şener Oktik,https://www.maltepe.edu.tr/tr/cleantech2025’in-davetli-konusmacisi-prof-dr-sener-oktik,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Maltepe Üniversitesi ile TÜRKKEP A.Ş. Arasında İş Birliği Protokolü İmzalandı,https://www.maltepe.edu.tr/tr/maltepe-universitesi-ile-turkkep-as-arasinda-i̇s-birligi-protokolu-i̇mzalandi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
2. Disiplinlerarası Akademi ve Sektör Çalışmaları Sempozyumu Başlıyor!,https://www.maltepe.edu.tr/tr/2-disiplinlerarasi-akademi-ve-sektor-calismalari-sempozyumu-basliyor,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
"Seminer: ""Meme Kanseri ile Mücadele: Bilgi, Farkındalık ve Destek""",https://www.maltepe.edu.tr/tr/seminer-meme-kanseri-ile-mucadele-bilgi-farkindalik-ve-destek-,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
KURUMSAL E-POSTA KULLANIMINA İLİŞKİN ÖNEMLİ DUYURU,https://www.maltepe.edu.tr/tr/kurumsal-e-posta-kullanimi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
"Eğitim: ""Bağımlılıkla Mücadele""",https://www.maltepe.edu.tr/tr/egitim-bagimlilikla-mucadele-,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
2024-2025 Akademik Yılı Lisansüstü Eğitim Enstitüsü Mezuniyet Töreni,https://www.maltepe.edu.tr/tr/2024-2025-akademik-yili-lisansustu-mezuniyet-toreni-,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
2025-2026 Akademik Yılı Açılış Töreni,https://www.maltepe.edu.tr/tr/2025-2026-akademik-yili-acilis-toreni,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
ÖĞRENCİ ARAÇ TANITIM PULU VERİLMESİ VE KULLANIM ESASLARI,https://www.maltepe.edu.tr/tr/ogrenci̇-arac-tanitim-pulu-veri̇lmesi̇-ve-kullanim-esaslari,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
2025-2026 Güz Yarıyılı Ders Kayıtları ve Danışman Onayları,https://www.maltepe.edu.tr/tr/-2025-2026-guz-yariyili-ders-kayitlari-ve-danisman-onaylari,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
SAHNE SANATLARI 2. ETAP YETENEK SINAVI SONUÇLARI,https://www.maltepe.edu.tr/tr/sahne-sanatlari-2-etap-yetenek-sinavi-sonuclari-2,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Maltepe Üniversitesi Bilgisayar Muafiyet Başvuru Formu,https://www.maltepe.edu.tr/tr/maltepe-universitesi-bilgisayar-muafiyet-basvuru-formu,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
TSE 1. Gözetim Tetkiki,https://www.maltepe.edu.tr/tr/tse-1-gozetim-tetkiki,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Prof. Dr. Hüseyin ÇAKALLI Emeklilik Duyurusu,https://www.maltepe.edu.tr/tr/prof-dr-huseyin-cakalli--emeklilik-duyurusu,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Sahne Sanatları Bölümü 2. Etap Yetenek Sınavı 2025,https://www.maltepe.edu.tr/tr/sahne-sanatlari-bolumu-2-etap-yetenek-sinavi-2025,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
2025-2026 Güz Yarıyılı Tezsiz Yüksek Lisans Programlarının Başvuru Süresi 24 Eylül 2025 tarihine kadar uzatılmıştır.,https://maltepe.edu.tr/enstitu/tr/-basvuru-on-kayit,12.07.2026 20:44,ℹ️ Listeye Eklendi
Maltepe Üniversitesi’nin Erasmus+ Projesi 250.000 Avro Hibe Kazandı,https://www.maltepe.edu.tr/tr/maltepe-universitesi’nin-erasmus-projesi-250000-avro-hibe-kazandi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Yükseköğretim Kurulu Veri Analizi Okulu açılıyor,https://www.maltepe.edu.tr/tr/yuksekogretim-kurulu-veri-analizi-okulu-aciliyor,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Maltepe Üniversitesi’nden Kuantum Şifreleme Alanında Önemli Buluş,https://www.maltepe.edu.tr/tr/maltepe-universitesi’nden-kuantum-sifreleme-alaninda-onemli-bulus,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Maltepe Üniversitesi’nden Bilim Dünyasına Önemli Katkı,https://www.maltepe.edu.tr/tr/maltepe-universitesi’nden-bilim-dunyasina-onemli-katki,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
T.C. MALTEPE ÜNİVERSİTESİ’NDEN ÜÇ YENİ STRATEJİK ÜNİVERSİTE-SANAYİ İŞBİRLİĞİ,https://www.maltepe.edu.tr/tr/tc-maltepe-uni̇versi̇tesi̇’nden-uc-yeni̇-strateji̇k-uni̇versi̇te-sanayi̇-i̇sbi̇rli̇gi̇,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
2025-2026 Eğitim-Öğretim Yılı Kayıt Yenileme İşlemleri,https://www.maltepe.edu.tr/tr/2025-2026-egitim-ogretim-yili-kayit-yenileme-i̇slemleri,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Konservatuvar Yetenek Sınavı,https://www.maltepe.edu.tr/tr/konservatuvar-yetenek-sinavi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
SAHNE SANATLARI BÖLÜMÜ YETENEK SINAVI 2025,https://www.maltepe.edu.tr/tr/sahne-sanatlari-bolumu-yetenek-sinavi-2025,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
15 Temmuz Demokrasi ve Milli Birlik Günü Etkinlikleri,https://www.maltepe.edu.tr/tr/15-temmuz-demokrasi-ve-milli-birlik-gunu-etkinlikleri,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
2024-2025 Akademik Yılı Önlisans ve Lisans Mezuniyet Töreni,https://www.maltepe.edu.tr/tr/2024-2025-akademik-yili-onlisans-ve-lisans-mezuniyet-toreni-,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
2025-2026 Akademik Takvimler,https://www.maltepe.edu.tr/tr/akademik-takvimler,12.07.2026 20:44,ℹ️ Listeye Eklendi
"Rektörümüz Prof. Dr. Edibe SÖZEN ÇETİNTAŞ'ın 19 Mayıs Atatürk'ü Anma, Gençlik ve Spor Bayramı Mesajı",https://www.maltepe.edu.tr/tr/rektorumuz-prof-dr-edibe-sozen-ceti̇ntasin-19-mayis-ataturku-anma-genclik-ve-spor-bayrami-mesaji,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
T.C. Maltepe Üniversitesi Rektörlüğünden: Üniversitemize “Öğretim Üyeleri” Alınacaktır.,https://www.maltepe.edu.tr/tr/tc-maltepe-universitesi-rektorlugunden-universitemize-12-05-26,12.07.2026 20:44,ℹ️ Listeye Eklendi
